title,subjects,authors,publish-date
Deep learning assisted XRF spectra classification,"['Characterization and analytical techniques', 'Electrical and electronic engineering', 'Deep learning', 'Autoencoder neural network', 'XRF spectra', 'Dimension reduction', 'AI classification', 'Pigments', 'Canvas paintings']","['Velibor Andric', 'Goran Kvascev', 'Milos Cvetanovic', 'Sasa Stojanovic', 'Nebojsa Bacanin', 'Maja Gajic-Kvascev']",2024-02-14
Fully-automated multi-organ segmentation tool applicable to both non-contrast and post-contrast abdominal CT: deep learning algorithm developed using dual-energy CT images,"['Medical imaging', 'Medical research']","['Sun Kyung Jeon', 'Ijin Joo', 'Junghoan Park', 'Jong-Min Kim', 'Sang Joon Park', 'Soon Ho Yoon']",2024-02-22
Deep learning driven segmentation of maxillary impacted canine on cone beam computed tomography images,"['Cone-beam computed tomography', 'Dentistry', 'Digital radiography in dentistry', 'Orthodontics']","['Abdullah Swaity', 'Bahaaeldeen M. Elgarba', 'Nermin Morgan', 'Saleem Ali', 'Sohaib Shujaat', 'Elena Borsci', 'Israel Chilvarquer', 'Reinhilde Jacobs']",2024-01-03
Gas adsorption meets deep learning: voxelizing the potential energy surface of metal-organic frameworks,"['Cheminformatics', 'Computational methods']","['Antonios P. Sarikas', 'Konstantinos Gkagkas', 'George E. Froudakis']",2024-01-26
Evaluation of deep learning-based quantitative computed tomography for opportunistic osteoporosis screening,"['Diseases', 'Medical research']","['Sangseok Oh', 'Woo Young Kang', 'Heejun Park', 'Zepa Yang', 'Jemyoung Lee', 'Changwon Kim', 'Ok Hee Woo', 'Suk-Joo Hong']",2024-01-05
A comparative analysis of CNN-based deep learning architectures for early diagnosis of bone cancer using CT images,"['Bone cancer', 'Diagnosis', 'Medical imaging']","['Kanimozhi Sampath', 'Sivakumar Rajagopal', 'Ananthakrishna Chintanpalli']",2024-01-25
Pneumonia detection based on RSNA dataset and anchor-free deep learning detector,"['Computational biology and bioinformatics', 'Medical research', 'Risk factors']","['Linghua Wu', 'Jing Zhang', 'Yilin Wang', 'Rong Ding', 'Yueqin Cao', 'Guiqin Liu', 'Changsheng Liufu', 'Baowei Xie', 'Shanping Kang', 'Rui Liu', 'Wenle Li', 'Furen Guan']",2024-01-22
Deep learning–radiomics integrated noninvasive detection of epidermal growth factor receptor mutations in non-small cell lung cancer patients,"['Cancer', 'Computational biology and bioinformatics']","['Seonhwa Kim', 'June Hyuck Lim', 'Chul-Ho Kim', 'Jin Roh', 'Seulgi You', 'Jeong-Seok Choi', 'Jun Hyeok Lim', 'Lucia Kim', 'Jae Won Chang', 'Dongil Park', 'Myung-won Lee', 'Sup Kim', 'Jaesung Heo']",2024-01-09
Deep learning-based prediction of in-hospital mortality for sepsis,"['Computer science', 'Experimental models of disease']","['Li Yong', 'Liu Zhenzhou']",2024-01-03
Improving deep neural network generalization and robustness to background bias via layer-wise relevance propagation optimization,"['Computer science', 'Image processing', 'Machine learning', 'Viral infection']","['Pedro R. A. S. Bassi', 'Sergio S. J. Dertkigil', 'Andrea Cavalli']",2024-01-04
Deep model predictive control of gene expression in thousands of single cells,"['Control theory', 'Synthetic biology']","['Jean-Baptiste Lugagne', 'Caroline M. Blassick', 'Mary J. Dunlop']",2024-03-08
Teacher-student collaborated multiple instance learning for pan-cancer PDL1 expression prediction from histopathology slides,"['Bioinformatics', 'Cancer imaging', 'Image processing', 'Machine learning', 'Tumour biomarkers']","['Darui Jin', 'Shangying Liang', 'Artem Shmatko', 'Alexander Arnold', 'David Horst', 'Thomas G. P. Grünewald', 'Moritz Gerstung', 'Xiangzhi Bai']",2024-04-09
"Noise learning of instruments for high-contrast, high-resolution and fast hyperspectral microscopy and nanoscopy","['Computational nanotechnology', 'Imaging studies']","['Hao He', 'Maofeng Cao', 'Yun Gao', 'Peng Zheng', 'Sen Yan', 'Jin-Hui Zhong', 'Lei Wang', 'Dayong Jin', 'Bin Ren']",2024-01-25
Employing deep learning and transfer learning for accurate brain tumor detection,"['Cancer', 'Health care', 'Medical research', 'Neurology', 'Artificial intelligence', 'Brain tumor', 'Transfer learning', 'Diagnosis', 'Medical imaging']","['Sandeep Kumar Mathivanan', 'Sridevi Sonaimuthu', 'Sankar Murugesan', 'Hariharan Rajadurai', 'Basu Dev Shivahare', 'Mohd Asif Shah']",2024-03-27
Exploring the connection between deep learning and learning assessments: a cross-disciplinary engineering education perspective,"['Education', 'Literature']","['Sabrina Fawzia', 'Azharul Karim']",2024-01-02
DDFC: deep learning approach for deep feature extraction and classification of brain tumors using magnetic resonance imaging in E-healthcare system,"['Computational biology and bioinformatics', 'Diseases']","['Abdus Saboor', 'Jian Ping Li', 'Amin Ul Haq', 'Umer Shehzad', 'Shakir Khan', 'Reemiah Muneer Aotaibi', 'Saad Abdullah Alajlan']",2024-03-18
Deep-WET: a deep learning-based approach for predicting DNA-binding proteins using word embedding techniques with weighted features,"['Biological techniques', 'Computational biology and bioinformatics', 'Computational models']","['S. M. Hasan Mahmud', 'Kah Ong Michael Goh', 'Md. Faruk Hosen', 'Dip Nandi', 'Watshara Shoombuatong']",2024-02-05
Inferring neural activity before plasticity as a foundation for learning beyond backpropagation,"['Learning algorithms', 'Machine learning', 'Network models']","['Yuhang Song', 'Beren Millidge', 'Tommaso Salvatori', 'Thomas Lukasiewicz', 'Zhenghua Xu', 'Rafal Bogacz']",2024-01-03
Survival prediction of glioblastoma patients using modern deep learning and machine learning techniques,"['Cancer models', 'Data mining', 'Data processing', 'Disease-free survival', 'Head and neck cancer', 'Machine learning', 'Predictive medicine']","['Samin Babaei Rikan', 'Amir Sorayaie Azar', 'Amin Naemi', 'Jamshid Bagherzadeh Mohasefi', 'Habibollah Pirnejad', 'Uffe Kock Wiil']",2024-01-29
Deep learning solutions for smart city challenges in urban development,"['Computational science', 'Computer science', 'Sustainability', 'Smart cities', 'Deep learning', 'Bayesian regularization', 'Neural network', 'Planning', 'Urban infrastructure', 'Transportation management']","['Pengjun Wu', 'Zhanzhi Zhang', 'Xueyi Peng', 'Ran Wang']",2024-03-02
Three-dimensional biphase fabric estimation from 2D images by deep learning,"['Civil engineering', 'Composites', 'Computational science', 'Convolutional neural network', 'Microstructure analysis', '3D fabric descriptor', 'Stacked 2D images', 'Loss function']","['Daniel Chou', 'Matias Etcheverry', 'Chloé Arson']",2024-04-18
Deep learning prediction of renal anomalies for prenatal ultrasound diagnosis,"['Machine learning', 'Ultrasonography', 'Kidney anomaly diagnosis', 'Deep learning', 'Ultrasound imagery']","['Olivier X. Miguel', 'Emily Kaczmarek', 'Inok Lee', 'Robin Ducharme', 'Alysha L. J. Dingwall-Harvey', 'Ruth Rennicks White', 'Brigitte Bonin', 'Richard I. Aviv', 'Steven Hawken', 'Christine M. Armour', 'Kevin Dick', 'Mark C. Walker']",2024-04-19
Deep-learning model for evaluating histopathology of acute renal tubular injury,"['Computational biology and bioinformatics', 'Nephrology', 'Deep learning', 'Acute renal tubular injury', 'Segmentation']","['Thi Thuy Uyen Nguyen', 'Anh-Tien Nguyen', 'Hyeongwan Kim', 'Yu Jin Jung', 'Woong Park', 'Kyoung Min Kim', 'Ilwoo Park', 'Won Kim']",2024-04-19
A novel method-based reinforcement learning with deep temporal difference network for flexible double shop scheduling problem,"['Computer science', 'Mechanical engineering']","['Xiao Wang', 'Peisi Zhong', 'Mei Liu', 'Chao Zhang', 'Shihao Yang']",2024-04-20
BIDCell: Biologically-informed self-supervised learning for segmentation of subcellular spatial transcriptomics data,"['Computational models', 'Data integration', 'Image processing', 'Machine learning', 'RNA sequencing']","['Xiaohang Fu', 'Yingxin Lin', 'David M. Lin', 'Daniel Mechtersheimer', 'Chuhan Wang', 'Farhan Ameen', 'Shila Ghazanfar', 'Ellis Patrick', 'Jinman Kim', 'Jean Y. H. Yang']",2024-01-13
Deep-potential enabled multiscale simulation of gallium nitride devices on boron arsenide cooling substrates,"['Composites', 'Electrical and electronic engineering', 'Structural properties', 'Surfaces, interfaces and thin films']","['Jing Wu', 'E Zhou', 'An Huang', 'Hongbin Zhang', 'Ming Hu', 'Guangzhao Qin']",2024-03-25
Deep learning segmentation of fibrous cap in intravascular optical coherence tomography images,"['Biomedical engineering', 'Cardiology', 'Interventional cardiology', 'Intravascular optical coherence tomography', 'Fibrous cap', 'Thin-cap fibroatheroma', 'Deep learning', 'Segmentation', 'Fibrous cap thickness']","['Juhwan Lee', 'Justin N. Kim', 'Luis A. P. Dallan', 'Vladislav N. Zimin', 'Ammar Hoori', 'Neda S. Hassani', 'Mohamed H. E. Makhlouf', 'Giulio Guagliumi', 'Hiram G. Bezerra', 'David L. Wilson']",2024-02-22
Stable training via elastic adaptive deep reinforcement learning for autonomous navigation of intelligent vehicles,"['Engineering', 'Mathematics and computing']","['Yujiao Zhao', 'Yong Ma', 'Guibing Zhu', 'Songlin Hu', 'Xinping Yan']",2024-02-26
VespAI: a deep learning-based system for the detection of invasive hornets,"['Invasive species', 'Machine learning']","['Thomas A. O’Shea-Wheller', 'Andrew Corbett', 'Juliet L. Osborne', 'Mario Recker', 'Peter J. Kennedy']",2024-04-03
Automated analysis of knee joint alignment using detailed angular values in long leg radiographs based on deep learning,"['Musculoskeletal system', 'Skeleton', 'Knee joint alignment', 'Radiograph', 'Deep learning', 'Osteoarthritis']","['Hong Seon Lee', 'Sangchul Hwang', 'Sung-Hwan Kim', 'Nam Bum Joon', 'Hyeongmin Kim', 'Yeong Sang Hong', 'Sungjun Kim']",2024-03-27
Clinical feasibility of deep learning-based synthetic CT images from T2-weighted MR images for cervical cancer patients compared to MRCAT,"['Biomedical engineering', 'Magnetic resonance imaging', 'Radiography', 'Radiotherapy', 'Tomography', 'Synthetic CT images', 'MR images', 'Deep learning', 'MRCAT', 'Cervical cancer']","['Hojin Kim', 'Sang Kyun Yoo', 'Jin Sung Kim', 'Yong Tae Kim', 'Jai Wo Lee', 'Changhwan Kim', 'Chae-Seon Hong', 'Ho Lee', 'Min Cheol Han', 'Dong Wook Kim', 'Se Young Kim', 'Tae Min Kim', 'Woo Hyoung Kim', 'Jayoung Kong', 'Yong Bae Kim']",2024-04-12
