title,subjects,authors,publish-date
Global field reconstruction from sparse sensors with Voronoi tessellation-assisted deep learning,"['Nonlinear phenomena', 'Physical oceanography', 'Scientific data']","['Kai Fukami', 'Romit Maulik', 'Nesar Ramachandra', 'Koji Fukagata', 'Kunihiko Taira']",2021-10-28
Deep learning-based segmentation of lithium-ion battery microstructures enhanced by artificially generated electrodes,"['Batteries', 'Techniques and instrumentation', 'Theory and computation']","['Simon Müller', 'Christina Sauter', 'Ramesh Shunmugasundaram', 'Nils Wenzler', 'Vincent De Andrade', 'Francesco De Carlo', 'Ender Konukoglu', 'Vanessa Wood']",2021-10-27
Predicting 1p/19q co-deletion status from magnetic resonance imaging using deep learning in adult-type diffuse lower-grade gliomas: a discovery and validation study,"['Cancer imaging', 'Diagnostic markers']","['Jing Yan', 'Shenghai Zhang', 'Qiuchang Sun', 'Weiwei Wang', 'Wenchao Duan', 'Li Wang', 'Tianqing Ding', 'Dongling Pei', 'Chen Sun', 'Wenqing Wang', 'Zhen Liu', 'Xuanke Hong', 'Xiangxiang Wang', 'Yu Guo', 'Wencai Li', 'Jingliang Cheng', 'Xianzhi Liu', 'Zhi-Cheng Li', 'Zhenyu Zhang']",2021-11-15
Physics-based machine learning for subcellular segmentation in living cells,"['Cellular imaging', 'Computer science', 'Microscopy', 'Mitochondria', 'Multivesicular bodies']","['Arif Ahmed Sekh', 'Ida S. Opstad', 'Gustav Godtliebsen', 'Åsa Birna Birgisdottir', 'Balpreet Singh Ahluwalia', 'Krishna Agarwal', 'Dilip K. Prasad']",2021-12-15
Annotation-efficient deep learning for automatic medical image segmentation,"['Biomedical engineering', 'Image processing', 'Machine learning']","['Shanshan Wang', 'Cheng Li', 'Rongpin Wang', 'Zaiyi Liu', 'Meiyun Wang', 'Hongna Tan', 'Yaping Wu', 'Xinfeng Liu', 'Hui Sun', 'Rui Yang', 'Xin Liu', 'Jie Chen', 'Huihui Zhou', 'Ismail Ben Ayed', 'Hairong Zheng']",2021-10-08
Integration of deep learning and soft robotics for a biomimetic approach to nonlinear sensing,"['Acoustics', 'Complex networks']","['Xiaoyan Yin', 'Rolf Müller']",2021-04-15
Automated recognition of objects and types of forceps in surgical images using deep learning,"['Cancer', 'Gastroenterology', 'Mathematics and computing', 'Medical research']","['Yoshiko Bamba', 'Shimpei Ogawa', 'Michio Itabashi', 'Shingo Kameoka', 'Takahiro Okamoto', 'Masakazu Yamamoto']",2021-11-19
Neutralizing the impact of atmospheric turbulence on complex scene imaging via deep learning,"['Engineering', 'Optics and photonics']","['Darui Jin', 'Ying Chen', 'Yi Lu', 'Junzhang Chen', 'Peng Wang', 'Zichao Liu', 'Sheng Guo', 'Xiangzhi Bai']",2021-10-14
Robust whole slide image analysis for cervical cancer screening using deep learning,"['Cancer screening', 'Machine learning', 'Translational research']","['Shenghua Cheng', 'Sibo Liu', 'Jingya Yu', 'Gong Rao', 'Yuwei Xiao', 'Wei Han', 'Wenjie Zhu', 'Xiaohua Lv', 'Ning Li', 'Jing Cai', 'Zehua Wang', 'Xi Feng', 'Fei Yang', 'Xiebo Geng', 'Jiabo Ma', 'Xu Li', 'Ziquan Wei', 'Xueying Zhang', 'Tingwei Quan', 'Shaoqun Zeng', 'Li Chen', 'Junbo Hu', 'Xiuli Liu']",2021-09-24
Mapping the glycosyltransferase fold landscape using interpretable deep learning,"['Computational models', 'Machine learning', 'Protein sequence analyses', 'Protein structure predictions', 'Software']","['Rahil Taujale', 'Zhongliang Zhou', 'Wayland Yeung', 'Kelley W. Moremen', 'Sheng Li', 'Natarajan Kannan']",2021-09-27
A deep generative model for molecule optimization via one fragment modification,"['Computer science', 'Drug discovery', 'Machine learning']","['Ziqi Chen', 'Martin Renqiang Min', 'Srinivasan Parthasarathy', 'Xia Ning']",2021-12-09
Deep learning and alignment of spatially resolved single-cell transcriptomes with Tangram,"['Imaging', 'Machine learning', 'Neuroscience', 'Software', 'Transcriptomics']","['Tommaso Biancalani', 'Gabriele Scalia', 'Lorenzo Buffoni', 'Raghav Avasthi', 'Ziqing Lu', 'Aman Sanger', 'Neriman Tokcan', 'Charles R. Vanderburg', 'Åsa Segerstolpe', 'Meng Zhang', 'Inbal Avraham-Davidi', 'Sanja Vickovic', 'Mor Nitzan', 'Sai Ma', 'Ayshwarya Subramanian', 'Michal Lipinski', 'Jason Buenrostro', 'Nik Bear Brown', 'Duccio Fanelli', 'Xiaowei Zhuang', 'Evan Z. Macosko', 'Aviv Regev']",2021-10-28
Genome-wide detection of cytosine methylations in plant from Nanopore data using deep learning,"['Computational models', 'DNA methylation', 'Plant genetics']","['Peng Ni', 'Neng Huang', 'Fan Nie', 'Jun Zhang', 'Zhi Zhang', 'Bo Wu', 'Lu Bai', 'Wende Liu', 'Chuan-Le Xiao', 'Feng Luo', 'Jianxin Wang']",2021-10-13
Automated bone mineral density prediction and fracture risk assessment using plain radiographs via deep learning,"['Biomedical engineering', 'Bone', 'Machine learning', 'Osteopetrosis', 'Radiography']","['Chen-I Hsieh', 'Kang Zheng', 'Chihung Lin', 'Ling Mei', 'Le Lu', 'Weijian Li', 'Fang-Ping Chen', 'Yirui Wang', 'Xiaoyun Zhou', 'Fakai Wang', 'Guotong Xie', 'Jing Xiao', 'Shun Miao', 'Chang-Fu Kuo']",2021-09-16
A deep-learning framework for multi-level peptide–protein interaction prediction,"['Machine learning', 'Virtual drug screening']","['Yipin Lei', 'Shuya Li', 'Ziyi Liu', 'Fangping Wan', 'Tingzhong Tian', 'Shao Li', 'Dan Zhao', 'Jianyang Zeng']",2021-09-15
Deep learning-based prediction of the T cell receptor–antigen binding specificity,"['Adaptive immunity', 'Antigen processing and presentation', 'Computational models', 'Data mining', 'Machine learning']","['Tianshi Lu', 'Ze Zhang', 'James Zhu', 'Yunguan Wang', 'Peixin Jiang', 'Xue Xiao', 'Chantale Bernatchez', 'John V. Heymach', 'Don L. Gibbons', 'Jun Wang', 'Lin Xu', 'Alexandre Reuben', 'Tao Wang']",2021-09-23
ECNet is an evolutionary context-integrated deep learning framework for protein engineering,"['Machine learning', 'Protein design']","['Yunan Luo', 'Guangde Jiang', 'Tianhao Yu', 'Yang Liu', 'Lam Vo', 'Hantian Ding', 'Yufeng Su', 'Wesley Wei Qian', 'Huimin Zhao', 'Jian Peng']",2021-09-30
Robust recognition and exploratory analysis of crystal structures via Bayesian deep learning,"['Computational chemistry', 'Method development', 'Structural materials', 'Structure of solids and liquids', 'Structure prediction']","['Andreas Leitherer', 'Angelo Ziletti', 'Luca M. Ghiringhelli']",2021-10-29
Automatically disambiguating medical acronyms with ontology-aware deep learning,"['Data mining', 'Health care', 'Machine learning']","['Marta Skreta', 'Aryan Arbabi', 'Jixuan Wang', 'Erik Drysdale', 'Jacob Kelly', 'Devin Singh', 'Michael Brudno']",2021-09-07
"A clinical deep learning framework for continually learning from cardiac signals across diseases, time, modalities, and institutions","['Computational platforms and environments', 'Health care', 'Machine learning']","['Dani Kiyasseh', 'Tingting Zhu', 'David Clifton']",2021-07-09
Deep learning improves macromolecule identification in 3D cellular cryo-electron tomograms,"['Cryoelectron microscopy', 'Image processing']","['Emmanuel Moebel', 'Antonio Martinez-Sanchez', 'Lorenz Lamm', 'Ricardo D. Righetto', 'Wojciech Wietrzynski', 'Sahradha Albert', 'Damien Larivière', 'Eric Fourmentin', 'Stefan Pfeffer', 'Julio Ortiz', 'Wolfgang Baumeister', 'Tingying Peng', 'Benjamin D. Engel', 'Charles Kervrann']",2021-10-21
Weakly-supervised deep learning for ultrasound diagnosis of breast cancer,"['Breast cancer', 'Cancer', 'Health care', 'Oncology', 'Ultrasonography']","['Jaeil Kim', 'Hye Jung Kim', 'Chanho Kim', 'Jin Hwa Lee', 'Keum Won Kim', 'Young Mi Park', 'Hye Won Kim', 'So Yeon Ki', 'You Me Kim', 'Won Hwa Kim']",2021-12-21
A stroke detection and discrimination framework using broadband microwave scattering on stochastic models with deep learning,"['Electrical and electronic engineering', 'Imaging', 'Sensors and probes']","['Leeor Alon', 'Seena Dehkharghani']",2021-12-20
Predicting base editing outcomes with an attention-based deep learning algorithm trained on high-throughput target library screens,"['CRISPR-Cas9 genome editing', 'Data mining', 'Genomics', 'Machine learning']","['Kim F. Marquart', 'Ahmed Allam', 'Sharan Janjuha', 'Anna Sintsova', 'Lukas Villiger', 'Nina Frey', 'Michael Krauthammer', 'Gerald Schwank']",2021-08-25
Automating crystal-structure phase mapping by combining deep learning with constraint reasoning,"['Computer science', 'Materials science']","['Di Chen', 'Yiwei Bai', 'Sebastian Ament', 'Wenting Zhao', 'Dan Guevarra', 'Lan Zhou', 'Bart Selman', 'R. Bruce van Dover', 'John M. Gregoire', 'Carla P. Gomes']",2021-09-16
Deep neural network models reveal interplay of peripheral coding and stimulus statistics in pitch perception,"['Auditory system', 'Computational neuroscience', 'Human behaviour']","['Mark R. Saddler', 'Ray Gonzalez', 'Josh H. McDermott']",2021-12-14
Deep learning-based landslide susceptibility mapping,"['Natural hazards', 'Solid Earth sciences']","['Mohammad Azarafza', 'Mehdi Azarafza', 'Haluk Akgün', 'Peter M. Atkinson', 'Reza Derakhshani']",2021-12-16
A deep learning approach for successful big-bubble formation prediction in deep anterior lamellar keratoplasty,"['Medical research', 'Optics and photonics']","['Takahiko Hayashi', 'Hiroki Masumoto', 'Hitoshi Tabuchi', 'Naofumi Ishitobi', 'Mao Tanabe', 'Michael Grün', 'Björn Bachmann', 'Claus Cursiefen', 'Sebastian Siebelmann']",2021-09-17
Training a deep learning model for single-cell segmentation without manual annotation,"['Image processing', 'Machine learning']","['Nizam Ud Din', 'Ji Yu']",2021-12-14
Deep learning-based transformation of H&E stained tissues into special stains,"['Kidney diseases', 'Machine learning', 'Medical imaging', 'Pathology']","['Kevin de Haan', 'Yijie Zhang', 'Jonathan E. Zuckerman', 'Tairan Liu', 'Anthony E. Sisk', 'Miguel F. P. Diaz', 'Kuang-Yu Jen', 'Alexander Nobori', 'Sofia Liou', 'Sarah Zhang', 'Rana Riahi', 'Yair Rivenson', 'W. Dean Wallace', 'Aydogan Ozcan']",2021-08-12
Peering into lunar permanently shadowed regions with deep learning,"['Computer science', 'Cryospheric science', 'Geomorphology', 'Software']","['V. T. Bickel', 'B. Moseley', 'I. Lopez-Francos', 'M. Shirley']",2021-09-23
Predicting post-operative right ventricular failure using video-based deep learning,"['Heart failure', 'Machine learning', 'Predictive markers']","['Rohan Shad', 'Nicolas Quach', 'Robyn Fong', 'Patpilai Kasinpila', 'Cayley Bowles', 'Miguel Castro', 'Ashrith Guha', 'Erik E. Suarez', 'Stefan Jovinge', 'Sangjin Lee', 'Theodore Boeve', 'Myriam Amsallem', 'Xiu Tang', 'Francois Haddad', 'Yasuhiro Shudo', 'Y. Joseph Woo', 'Jeffrey Teuteberg', 'John P. Cunningham', 'Curtis P. Langlotz', 'William Hiesinger']",2021-08-31
Deep learning data augmentation for Raman spectroscopy cancer tissue classification,"['Basal cell carcinoma', 'Melanoma', 'Squamous cell carcinoma']","['Man Wu', 'Shuwen Wang', 'Shirui Pan', 'Andrew C. Terentis', 'John Strasswimmer', 'Xingquan Zhu']",2021-12-13
Seasonal Arctic sea ice forecasting with probabilistic deep learning,"['Computer science', 'Cryospheric science', 'Environmental impact', 'Statistics']","['Tom R. Andersson', 'J. Scott Hosking', 'María Pérez-Ortiz', 'Brooks Paige', 'Andrew Elliott', 'Chris Russell', 'Stephen Law', 'Daniel C. Jones', 'Jeremy Wilkinson', 'Tony Phillips', 'James Byrne', 'Steffen Tietsche', 'Beena Balan Sarojini', 'Eduardo Blanchard-Wrigglesworth', 'Yevgeny Aksenov', 'Rod Downie', 'Emily Shuckburgh']",2021-08-26
A deep learning model for predicting next-generation sequencing depth from DNA sequence,"['Computational biophysics', 'DNA', 'Machine learning', 'Next-generation sequencing']","['Jinny X. Zhang', 'Boyan Yordanov', 'Alexander Gaunt', 'Michael X. Wang', 'Peng Dai', 'Yuan-Jyue Chen', 'Kerou Zhang', 'John Z. Fang', 'Neil Dalchau', 'Jiaming Li', 'Andrew Phillips', 'David Yu Zhang']",2021-07-19
The impact of site-specific digital histology signatures on deep learning model accuracy and bias,"['Cancer imaging', 'Diagnostic markers']","['Frederick M. Howard', 'James Dolezal', 'Sara Kochanny', 'Jefree Schulte', 'Heather Chen', 'Lara Heij', 'Dezheng Huo', 'Rita Nanda', 'Olufunmilayo I. Olopade', 'Jakob N. Kather', 'Nicole Cipriani', 'Robert L. Grossman', 'Alexander T. Pearson']",2021-07-20
A deep learning model for gastric diffuse-type adenocarcinoma classification in whole slide images,"['Classification and taxonomy', 'Gastrointestinal cancer', 'Machine learning']","['Fahdi Kanavati', 'Masayuki Tsuneki']",2021-10-14
Infusing theory into deep learning for interpretable reactivity prediction,"['Heterogeneous catalysis', 'Quantum chemistry']","['Shih-Han Wang', 'Hemanth Somarajan Pillai', 'Siwen Wang', 'Luke E. K. Achenie', 'Hongliang Xin']",2021-09-06
Cluster learning-assisted directed evolution,"['Machine learning', 'Protein design']","['Yuchi Qiu', 'Jian Hu', 'Guo-Wei Wei']",2021-12-09
Deep learning to design nuclear-targeting abiotic miniproteins,"['Bioconjugate chemistry', 'Biomaterials', 'Chemical biology', 'Chemical tools', 'Cheminformatics']","['Carly K. Schissel', 'Somesh Mohapatra', 'Justin M. Wolfe', 'Colin M. Fadzen', 'Kamela Bellovoda', 'Chia-Ling Wu', 'Jenna A. Wood', 'Annika B. Malmberg', 'Andrei Loas', 'Rafael Gómez-Bombarelli', 'Bradley L. Pentelute']",2021-08-09
A pyramidal deep learning pipeline for kidney whole-slide histology images classification,"['Cancer', 'Diseases', 'Engineering', 'Oncology']","['Hisham Abdeltawab', 'Fahmi Khalifa', 'Mohammed Ghazal', 'Liang Cheng', 'Dibson Gondim', 'Ayman El-Baz']",2021-10-12
Learning efficient navigation in vortical flow fields,"['Biomechanics', 'Computational science', 'Marine biology', 'Mechanical engineering']","['Peter Gunnarson', 'Ioannis Mandralis', 'Guido Novati', 'Petros Koumoutsakos', 'John O. Dabiri']",2021-12-08
Face detection in untrained deep neural networks,"['Computational models', 'Network models', 'Neural encoding', 'Object vision', 'Perception']","['Seungdae Baek', 'Min Song', 'Jaeson Jang', 'Gwangsu Kim', 'Se-Bum Paik']",2021-12-16
Deep learning for anatomical interpretation of video bronchoscopy images,"['Anatomy', 'Computational models', 'Medical research']","['Ji Young Yoo', 'Se Yoon Kang', 'Jong Sun Park', 'Young-Jae Cho', 'Sung Yong Park', 'Ho Il Yoon', 'Sang Jun Park', 'Han-Gil Jeong', 'Tackeun Kim']",2021-12-09
Biological features between miRNAs and their targets are unveiled from deep learning models,"['Computational biology and bioinformatics', 'Machine learning']","['Tongjun Gu', 'Mingyi Xie', 'W. Brad Barbazuk', 'Ji-Hyun Lee']",2021-12-10
Fast and energy-efficient neuromorphic deep learning with first-spike times,"['Computational neuroscience', 'Computational science', 'Electrical and electronic engineering', 'Hardware and infrastructure', 'Machine learning']","['J. Göltz', 'L. Kriener', 'A. Baumbach', 'S. Billaudelle', 'O. Breitwieser', 'B. Cramer', 'D. Dold', 'A. F. Kungl', 'W. Senn', 'J. Schemmel', 'K. Meier', 'M. A. Petrovici']",2021-09-17
Deep learning prediction of patient response time course from early data via neural-pharmacokinetic/pharmacodynamic modelling,"['Computational science', 'Machine learning']","['James Lu', 'Brendan Bender', 'Jin Y. Jin', 'Yuanfang Guan']",2021-06-21
Prediction of osteoporosis from simple hip radiography using deep learning algorithm,"['Health care', 'Medical imaging', 'Medical research']","['Ryoungwoo Jang', 'Jae Ho Choi', 'Namkug Kim', 'Jae Suk Chang', 'Pil Whan Yoon', 'Chul-Ho Kim']",2021-10-07
Protein embeddings and deep learning predict binding residues for various ligand classes,"['Machine learning', 'Protein function predictions', 'Protein sequence analyses', 'Sequence annotation']","['Maria Littmann', 'Michael Heinzinger', 'Christian Dallago', 'Konstantin Weissenow', 'Burkhard Rost']",2021-12-13
Deep learning for predicting uncorrected refractive error using posterior segment optical coherence tomography images,"['Medical imaging', 'Predictive markers']","['Tae Keun Yoo', 'Ik Hee Ryu', 'Jin Kuk Kim', 'In Sik Lee']",2021-10-05
Deep learning based classification of dynamic processes in time-resolved X-ray tomographic microscopy,"['Computational science', 'Fuel cells', 'Imaging techniques', 'Microscopy', 'Scientific data', 'Software']","['Minna Bührer', 'Hong Xu', 'Allard A. Hendriksen', 'Felix N. Büchi', 'Jens Eller', 'Marco Stampanoni', 'Federica Marone']",2021-12-17
Deep learning-based detection and segmentation of diffusion abnormalities in acute ischemic stroke,"['Brain imaging', 'Stroke']","['Chin-Fu Liu', 'Johnny Hsu', 'Xin Xu', 'Sandhya Ramachandran', 'Victor Wang', 'Michael I. Miller', 'Argye E. Hillis', 'Andreia V. Faria', 'The STIR and VISTA Imaging investigators']",2021-12-16
Embedding knowledge on ontology into the corpus by topic to improve the performance of deep learning methods in sentiment analysis,"['Computational science', 'Computer science', 'Scientific data']","['Duy Ngoc Nguyen', 'Tuoi Thi Phan', 'Phuc Do']",2021-12-07
Quantum deep reinforcement learning for clinical decision support in oncology: application to adaptive radiotherapy,"['Cancer', 'Health care', 'Machine learning', 'Non-small-cell lung cancer', 'Quantum information', 'Quantum simulation', 'Qubits', 'Translational research']","['Dipesh Niraula', 'Jamalina Jamaluddin', 'Martha M. Matuszak', 'Randall K. Ten Haken', 'Issam El Naqa']",2021-12-07
Radiologists can visually predict mortality risk based on the gestalt of chest radiographs comparable to a deep learning network,"['Prognostic markers', 'Radiography']","['Jakob Weiss', 'Jana Taron', 'Zexi Jin', 'Thomas Mayrhofer', 'Hugo J. W. L. Aerts', 'Michael T. Lu', 'Udo Hoffmann']",2021-10-01
Deep learning enables fast and dense single-molecule localization with high accuracy,"['Fluorescence imaging', 'Machine learning', 'Software', 'Super-resolution microscopy']","['Artur Speiser', 'Lucas-Raphael Müller', 'Philipp Hoess', 'Ulf Matti', 'Christopher J. Obara', 'Wesley R. Legant', 'Anna Kreshuk', 'Jakob H. Macke', 'Jonas Ries', 'Srinivas C. Turaga']",2021-09-03
Smartphone-based DNA diagnostics for malaria detection using deep learning for local decision support and blockchain technology for security,"['Biomedical engineering', 'Information technology']","['Xin Guo', 'Muhammad Arslan Khalid', 'Ivo Domingos', 'Anna Lito Michala', 'Moses Adriko', 'Candia Rowel', 'Diana Ajambo', 'Alice Garrett', 'Shantimoy Kar', 'Xiaoxiang Yan', 'Julien Reboud', 'Edridah M. Tukahebwa', 'Jonathan M. Cooper']",2021-08-02
Deep learning-based mixed-dimensional Gaussian mixture model for characterizing variability in cryo-EM,"['Cryoelectron microscopy', 'Image processing', 'Machine learning']","['Muyuan Chen', 'Steven J. Ludtke']",2021-07-29
Rib fracture detection system based on deep learning,"['Diseases', 'Health care', 'Medical research']","['Liding Yao', 'Xiaojun Guan', 'Xiaowei Song', 'Yanbin Tan', 'Chun Wang', 'Chaohui Jin', 'Ming Chen', 'Huogen Wang', 'Minming Zhang']",2021-12-06
Adaptive demodulation by deep-learning-based identification of fractional orbital angular momentum modes with structural distortion due to atmospheric turbulence,"['Fibre optics and optical communications', 'Optical physics']","['Youngbin Na', 'Do-Kyeong Ko']",2021-12-06
Deep recurrent optical flow learning for particle image velocimetry data,"['Aerospace engineering', 'Computational science', 'Fluid dynamics']","['Christian Lagemann', 'Kai Lagemann', 'Sach Mukherjee', 'Wolfgang Schröder']",2021-07-20
DeepCell Kiosk: scaling deep learning–enabled cellular image analysis with Kubernetes,"['Hardware and infrastructure', 'Image processing']","['Dylan Bannon', 'Erick Moen', 'Morgan Schwartz', 'Enrico Borba', 'Takamasa Kudo', 'Noah Greenwald', 'Vibha Vijayakumar', 'Brian Chang', 'Edward Pao', 'Erik Osterman', 'William Graf', 'David Van Valen']",2021-01-04
A deep learning system for detecting diabetic retinopathy across the disease spectrum,"['Diabetes complications', 'Retinal diseases']","['Ling Dai', 'Liang Wu', 'Huating Li', 'Chun Cai', 'Qiang Wu', 'Hongyu Kong', 'Ruhan Liu', 'Xiangning Wang', 'Xuhong Hou', 'Yuexing Liu', 'Xiaoxue Long', 'Yang Wen', 'Lina Lu', 'Yaxin Shen', 'Yan Chen', 'Dinggang Shen', 'Xiaokang Yang', 'Haidong Zou', 'Bin Sheng', 'Weiping Jia']",2021-05-28
